status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
62317591679_10155411857086680,Here are some fun photos from the 2018 annual Easter Egg Roll. Click here for more: https://politi.co/2H49h5g,Photos from POLITICO's post,photo,https://www.facebook.com/politico/photos/a.62440786679.82359.62317591679/10155411855461680/?type=3,https://www.facebook.com/politico/posts/10155411857086680,2018-04-02 13:15:00,275,162,51,124,13,3,86,4,45
62317591679_10155411850746680,"Via AP: At the age of 81, Winnie Madikizela-Mandela, prominent anti-apartheid activist and the ex-wife of Nelson Mandela, died in a hospital on Monday after a long illness.",Anti-apartheid activist Winnie Madikizela-Mandela dies,link,https://politi.co/2uGbBgq,https://www.facebook.com/politico/posts/10155411850746680,2018-04-02 13:00:03,71,12,18,18,2,3,0,48,0
62317591679_10155411785631680,"The potential selection of a white man to head the New York Federal Reserve — the central bank's second-most powerful job — has sparked a fierce backlash from Sen. Warren and other progressives, who are accusing the Fed of overlooking women and people of color.",Warren leads crusade for diversity at Fed,link,https://politi.co/2GN3VgX,https://www.facebook.com/politico/posts/10155411785631680,2018-04-02 12:30:14,187,32,25,154,12,2,14,3,2
62317591679_10155411735521680,"The fund for former FBI deputy director Andrew McCabe's legal defense was started Thursday to help handle multiple ongoing investigations as well as ""any potential lawsuits he might consider,"" according to the website.",McCabe's online legal defense fund to stop accepting donations after receiving more than $500K,link,https://politi.co/2H1purP,https://www.facebook.com/politico/posts/10155411735521680,2018-04-02 12:10:01,1577,237,144,1224,207,82,44,3,17
62317591679_10155411687096680,President Donald Trump defended Sinclair Broadcasting after the company came under fire for requiring local news anchors to read promotional material alleging bias from other media organizations.,Trump defends Sinclair Broadcasting after anchor-promo dust-up,link,https://politi.co/2Je5G5m,https://www.facebook.com/politico/posts/10155411687096680,2018-04-02 11:50:03,1763,411,342,188,9,59,217,42,1248
62317591679_10155411623646680,"""This is a special year. Our country is doing great… Nothing is ever easy, but we have never had an economy like we have right now. And we're going to make it bigger and better and stronger,"" President Donald J. Trump said in his speech preceding the annual White House Easter Egg Roll.",White House Easter Egg Roll Remarks (2018),video,https://www.facebook.com/politico/videos/10155411623646680/,https://www.facebook.com/politico/videos/10155411623646680/,2018-04-02 11:35:18,2671,1728,1110,531,78,71,1274,76,641
62317591679_10155411620331680,"Americans are increasingly wary of the motivations behind allegedly misleading coverage, with  42 percent of Americans saying they believe major outlets disseminate misinformation to push a political agenda.",Poll: 77 percent say major news outlets report 'fake news',link,https://politi.co/2q0eanU,https://www.facebook.com/politico/posts/10155411620331680,2018-04-02 11:30:15,601,241,133,220,10,82,40,51,198
62317591679_10155411567386680,House Republicans recently subpoenaed the Justice Department for its records relating to the probe of Hillary Clinton's private email server.,Trump: DOJ response to document requests 'an embarrassment to our country!',link,https://politi.co/2GJJIsu,https://www.facebook.com/politico/posts/10155411567386680,2018-04-02 11:10:06,482,222,34,121,4,22,97,7,231
62317591679_10155411515296680,"Trump opened Monday morning where he left off on Easter Sunday, accusing Mexico of not doing enough to stop illegal immigration.","Trump blasts DOJ, FBI, news media, Amazon, Mexico",link,https://politi.co/2uI7wIo,https://www.facebook.com/politico/posts/10155411515296680,2018-04-02 10:50:03,628,278,99,81,4,18,163,17,345
62317591679_10155411482911680,"That a new Trump Mideast aide worked with Cambridge Analytica's parent company sheds light on how SCL Group has quietly but aggressively exploited the U.S. government's outsourcing of some intelligence, military and diplomatic efforts to private contractors.",New Trump Mideast aide worked for Cambridge Analytica parent firm,link,https://politi.co/2JdC7kq,https://www.facebook.com/politico/posts/10155411482911680,2018-04-02 10:30:14,184,19,65,40,1,31,6,3,103
62317591679_10155411439401680,"In an interview Sunday morning with CNN's ""State of the Union,"" author Ronald Kessler said Kellyanne Conway is the top source of leaks inside the Trump administration.",Conway responds to claim she's the number one leaker,link,https://politi.co/2uIy3FH,https://www.facebook.com/politico/posts/10155411439401680,2018-04-02 10:10:04,1087,155,67,320,9,56,689,2,11
62317591679_10155411409206680,Japanese Prime Minister Shinzo Abe's upcoming visit to the president's south Florida estate on April 17 will mark the leaders' third summit since Trump took office in January of last year.,"Trump, Abe to discuss 'maximum pressure' on North Korea at April meeting",link,https://politi.co/2H2p708,https://www.facebook.com/politico/posts/10155411409206680,2018-04-02 09:50:02,31,10,6,25,0,2,3,0,1
